"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Kosciusko",,"IN","Warsaw, IN","Warsaw, IN",,3.55646100116414,,,,153000,0.525624178712221,5.51724137931035,0.0104509803921569,,0.0561670610019545,0.0274725274725275,61
"County","La Crosse",,"WI","La Crosse, WI","La Crosse-Onalaska, WI-MN",,8.85913853317811,100,1.4706,,170700,0.293772032902468,7.90139064475348,0.0230228471001757,,0.0475978976978311,0.0202177293934681,60
"County","Lafayette",,"LA","Lafayette, LA","Lafayette, LA",,2.9743888242142,83.12,,,166100,0.24140012070006,-0.598444045481747,0.024990969295605,,0.0872739203543452,0.0328947368421053,89
"County","Lafayette",,"MS","Oxford, MS","Oxford, MS",,5.07566938300349,,,,202900,-0.245821042281219,1.24750499001996,0.0348447511089207,,0.0654104979811575,0.00411522633744856,76
"County","Lafourche",,"LA","Houma, LA","Houma-Thibodaux, LA",,0.448195576251455,66.67,,,121000,-0.493421052631579,-2.57648953301127,-0.0321735537190083,,0.110206297502714,0.0285714285714286,99
"County","Lancaster",,"NE","Lincoln, NE","Lincoln, NE",,8.36437718277066,95.35,1.8119,1.9868,179000,0.280112044817927,6.86567164179105,0.033586592178771,,0.0358839798595844,0.00592885375494071,53
"County","Lancaster",,"PA","Lancaster, PA","Lancaster, PA",,4.43538998835856,88.89,3.0804,1.4902,201500,0.198906016907011,5.33193936225823,0.0290372208436724,,0.0492524781972808,0.041792686279901,68
"County","Lancaster",,"SC","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",,6.45518044237485,91.23,2.2094,,162500,0.494743351886209,10.6194690265487,0.0358830769230769,,0.095304205798285,0.0291345329905741,63
"County","Lancaster",,"VA",,,,5.76251455180442,100,,,216800,0.0923361034164358,-0.275988960441582,0.0321771217712177,,0.117395944503735,0.0181818181818182,161
"County","Lexington",,"SC","Columbia, SC","Columbia, SC",,4.91268917345751,86.72,6.3409,0.9406,141500,0.783475783475784,6.79245283018868,0.0486289752650177,,0.112403100775194,0.0473292765382015,71
"County","Limestone",,"AL","Huntsville, AL","Huntsville, AL",,2.92782305005821,,,,151900,0.1318391562294,6.52173913043478,-0.0156287030941409,,0.123150656386747,0.0160744500846024,77
"County","Manitowoc",,"WI","Manitowoc, WI","Manitowoc, WI",,5.9545983701979,86.84,3.0476,0.3852,107500,1.2241054613936,-7.16753022452504,0.00835348837209304,,0.0973636126337771,0.0201072386058981,87
